TOKEN_ADDRESS,TOKEN_NAME,TOKEN_SYMBOL,DECIMALS
0x985458e523db3d53125813ed68c274899e9dfab4,HRC20 USD Coin,1USDC,6
0x224e64ec1bdce3870a6a6c777edd450454068fec,HRC20 Wrapped UST Token,UST,18
0xe176ebe47d621b984a73036b9da5d834411ef734,HRC20 Binance USD,BUSD,18
0xef977d2f931c1978db5f6747666fa1eacb0d0339,HRC20 Dai Stablecoin,1DAI,18
0x3f56e0c36d275367b8c502090edf38289b3dea0d,HRC20 Mai Stablecoin,MAI,18
0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f,HRC20 Tether USD,1USDT,6
0x0ab43550a6915f9f67d0c454c2e90385e6497eaa,HRC20 BUSD Token,bscBUSD,18
0xfa7191d292d5633f702b0bd7e3e3bccc0e633200,HRC20 Frax,FRAX,18
0xeb6c08ccb4421b6088e581ce04fcfbed15893ac3,HRC20 Frax,1FRAX,18
